measure,year,units,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
AGOC-3A,2002,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2003,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2004,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2005,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2006,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2007,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2008,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2009,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2010,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2011,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2012,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2013,µg/l,0,0,0,0,0,0,0,0,0,0
AGOC-3A,2014,µg/l,0,0.320857143,0.2987,0.515044444,0,0.52815625,0.3744,0.461272727,0.2951,0
AGOC-3A,2015,µg/l,0,9.966914286,0.366,1.423925926,0,0.354259259,0.564818182,0.514481481,0.412777778,0
AGOC-3A,2016,µg/l,0,0.065964286,0.750416667,0.24253125,0,0.249333333,0.068090909,0.184727273,0.580083333,0
Alachlor,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2004,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2005,µg/l,0,0.098772727,0.11875,0.102458333,0,0.183,0.12,0.078833333,0.11625,0
Alachlor,2006,µg/l,0,0.278174603,0.1535,0.191089286,0,0.1956875,0.28925,0.209689655,0.138090909,0
Alachlor,2007,µg/l,0,0.10848,0.049833333,0.055730159,0,0.096888889,0.085666667,0.090111111,0.052083333,0
Alachlor,2008,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2009,µg/l,0,0,0.025,0.025,0,0.025,0,0.025,0.025,0
Alachlor,2010,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2011,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2012,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2013,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2014,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2015,µg/l,0,0,0,0,0,0,0,0,0,0
Alachlor,2016,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2004,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2005,µg/l,0,0.007470588,0.0331,0.012056604,0,0.007041667,0,0.02437037,0.0388,0
Aldrin,2006,µg/l,0,0.1240625,0.1062,0.089963636,0,0.087821429,0.1095,0.096571429,0.1123,0
Aldrin,2007,µg/l,0,0.029019608,0.012083333,0.016354839,0,0.040361111,0.027083333,0.031611111,0.012583333,0
Aldrin,2008,µg/l,0,0.025888462,0.025,0,0,0.025,0.025,0.025,0.025,0
Aldrin,2009,µg/l,0,0.001,0.018,0.018,0,0.018,0.001,0.018,0.018,0.009
Aldrin,2010,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2011,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2012,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2013,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2014,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2015,µg/l,0,0,0,0,0,0,0,0,0,0
Aldrin,2016,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,1998,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,1999,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2000,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2001,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2002,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2003,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2004,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2005,µg/l,0,0.031288136,0.093833333,0.034830508,0,0.0116,0.016444444,0.033060606,0.0794,0
alpha-Hexachlorocyclohexane,2006,µg/l,0,0.015727273,0.0115,0.014139535,0,0.0145,0.0158,0.01388,0.020555556,0
alpha-Hexachlorocyclohexane,2007,µg/l,0,0.008607843,0.005,0.009483871,0,0.010722222,0.006333333,0.009441176,0.005,0
alpha-Hexachlorocyclohexane,2008,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2009,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2010,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2011,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2012,µg/l,0,0,0,0.01,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2013,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2014,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2015,µg/l,0,0,0,0,0,0,0,0,0,0
alpha-Hexachlorocyclohexane,2016,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2004,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2005,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2006,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2007,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2008,µg/l,0,0,50.4,38.66666667,0,33.3,0,44.83333333,69.3,0
Aluminium,2009,µg/l,0,0,162.625,203.5238095,0,143.2592593,0,147.5555556,212.5555556,0
Aluminium,2010,µg/l,0,0,59,81.66666667,0,57.66666667,0,82,89,0
Aluminium,2011,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2012,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2013,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2014,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2015,µg/l,0,0,0,0,0,0,0,0,0,0
Aluminium,2016,µg/l,0,0,0,0,0,0,0,0,0,0
Ammonium,1998,µg/l,0,169.5238095,510,425.2777778,0,223.6111111,2963.333333,190.8333333,1116.666667,0
Ammonium,1999,µg/l,0,295.1612903,704.1666667,340,0,418.0555556,1595,429.4594595,1390.833333,0
Ammonium,2000,µg/l,0,391.7142857,1145.833333,438.0555556,0,526.1111111,1965.833333,491.6666667,1155,0
Ammonium,2001,µg/l,0,227.6666667,357,305.6666667,0,364.2424242,1823.636364,317.8787879,365,0
Ammonium,2002,µg/l,0,451.5873016,459.2857143,347.4603175,0,256.4102564,3107.272727,233.8461538,496.3636364,0
Ammonium,2003,µg/l,0,304.2666667,620,439.0289855,0,366.25,2301.818182,438.8888889,760,0
Ammonium,2004,µg/l,0,245.5,485.8181818,395.6984127,0,242.6,1774.166667,358.3030303,454.8,0
Ammonium,2005,µg/l,0,237.4305556,408.25,264.6388889,0,243.9166667,3515,354.75,500.0833333,0
Ammonium,2006,µg/l,0,273.1571429,971.1666667,439.2638889,0,546.9361111,1893.636364,459.8611111,846.4166667,0
Ammonium,2007,µg/l,0,391.9230769,668.6666667,461.2147059,0,211.7222222,1211.166667,223.85,812.0833333,0
Ammonium,2008,µg/l,0,231.4761905,496.775,330.7939394,0,238.730303,3402.181818,304.1861111,528.2333333,0
Ammonium,2009,µg/l,164.9166667,301.2909091,232.25,160.7487179,143.6666667,178.0552632,4367.5,154.5282051,307.0833333,623.5
Ammonium,2010,µg/l,118.7407407,206.9482759,218.9166667,182.2307692,651.8333333,149.5833333,3452.333333,208.2777778,332.5833333,1118.041667
Ammonium,2011,µg/l,81.70833333,135.7555556,330.1666667,213.5512821,135.1666667,168.5166667,2911.625,157.9259259,259.5,287.9090909
Ammonium,2012,µg/l,141.5833333,90.54545455,171.4583333,207.0615385,179.25,130.8638889,2378.909091,133.5777778,201.4130435,777.3478261
Ammonium,2013,µg/l,75.58333333,82.05555556,139.9269231,128.0657895,186.9545455,111.3333333,2562.516667,125.4444444,200.7384615,1209.769231
Ammonium,2014,µg/l,124.1666667,88.015,186.33,78.13,370.1923077,186.875,3883.666667,190.6233333,277.29,5802.714286
Ammonium,2015,µg/l,131.5833333,70.96875,120.5769231,60.03717949,312.1923077,159.6666667,2411.041667,166.6388889,317.2692308,1055.166667
Ammonium,2016,µg/l,88.58333333,62.6,100,63.54358974,132.8846154,88.27777778,1395.5,88.69444444,136.6538462,1060.25
Anionic active surfactants,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Anionic active surfactants,1999,µg/l,0,0,0,18.88888889,0,106.6666667,0,101.6666667,6.666666667,0
Anionic active surfactants,2000,µg/l,0,56,110,76.66666667,0,90.83333333,130,86.94444444,120,0
Anionic active surfactants,2001,µg/l,0,11.73913043,126,114.6666667,0,99.33333333,87.77777778,142.4242424,135,0
Anionic active surfactants,2002,µg/l,0,70,0,53.33333333,0,50,370,56.66666667,70,0
Anionic active surfactants,2003,µg/l,0,32.96969697,31,65.70833333,0,29.88888889,32.66666667,44.77777778,36.5,0
Anionic active surfactants,2004,µg/l,0,0.707317073,0,111.9333333,0,0,44.33333333,0,0,0
Anionic active surfactants,2005,µg/l,0,36.81944444,88.76666667,41.73333333,0,43.43333333,47.91666667,42.64,101.8333333,0
Anionic active surfactants,2006,µg/l,0,49.44776119,81.8125,55.39583333,0,139.9833333,58,95.34166667,95.92857143,0
Anionic active surfactants,2007,µg/l,0,45.44230769,132.6555556,114.6181818,0,100.64,66.81818182,105.2893939,133.3444444,0
Anionic active surfactants,2008,µg/l,0,39.98412698,103.6666667,67.86111111,0,102.5848485,57.54545455,92.58333333,124.3333333,0
Anionic active surfactants,2009,µg/l,34,50,117.0333333,55.31666667,31.125,75.80789474,71.5,79.02820513,131.6,71.77777778
Anionic active surfactants,2010,µg/l,0,113.4864865,111.7,53,35.625,53,74.16666667,53,123.7333333,158.3333333
Anionic active surfactants,2011,µg/l,0,0,0,0,0,0,8.333333333,0,0,23.66666667
Anionic active surfactants,2012,µg/l,0,0,0,0,0,0,0,40.58333333,0,23
Anionic active surfactants,2013,µg/l,0,183.7777778,0,0,0,0,76,0,0,24.16166667
Anionic active surfactants,2014,µg/l,0,142.7333333,0,0,0,0,162.6363636,0,0,23.075
Anionic active surfactants,2015,µg/l,0,107.15625,0,0,0,0,280.25,0,0,0
Anionic active surfactants,2016,µg/l,0,138.3529412,0,0,21,0,454.5833333,0,0,0
Anthracene,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2004,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2005,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2006,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2007,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2008,µg/l,0,0.008518077,0,0,0,0,0.0093375,0,0,0
Anthracene,2009,µg/l,0,0.005,0.009,0.00846,0,0.00805,0.005,0.0085,0.0075,0.002
Anthracene,2010,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2011,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2012,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2013,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2014,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2015,µg/l,0,0,0,0,0,0,0,0,0,0
Anthracene,2016,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,1998,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,1999,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2000,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2001,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2002,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2003,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2004,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2005,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2006,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2007,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2008,µg/l,0,0,23.9,13.52222222,0,18.47222222,0,20.23333333,33.52857143,0
AOX,2009,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2010,µg/l,0,16.92258065,0,0,0,0,32.925,0,0,0
AOX,2011,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2012,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2013,µg/l,0,23.91666667,0,0,0,0,31.75,0,0,0
AOX,2014,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2015,µg/l,0,0,0,0,0,0,0,0,0,0
AOX,2016,µg/l,0,14.77058824,0,0,0,0,27.57272727,0,0,0
Arsenic,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Arsenic,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Arsenic,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Arsenic,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Arsenic,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Arsenic,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Arsenic,2004,µg/l,0,0.242,2.227,0.1,0,0,0.819,0.622,0,0
Arsenic,2005,µg/l,0,0,0,0,0,0,0,0,0,0
Arsenic,2006,µg/l,0,0,0,0,0,0,0,0,0,0
Arsenic,2007,µg/l,0,0,0,0,0,0,0,0,0,0
Arsenic,2008,µg/l,0,1.44,0.521,0.303181818,0,0.448052632,1.1,0.462954545,0.5925,0
Arsenic,2009,µg/l,0.825,0,1.15875,1.047037037,1.01,1.011111111,0,1.05,1.257777778,0
Arsenic,2010,µg/l,1.008333333,2.344444444,1.0025,0.908611111,0,0.969722222,2.584166667,0.993333333,1.183333333,0
Arsenic,2011,µg/l,1.205555556,0,1.416666667,1.113333333,1,1.271111111,2.85,1.278787879,1.616666667,2.26
Arsenic,2012,µg/l,0.358333333,0,1.75,1.533333333,0,1.633333333,1.618181818,1.6,1.7,0
Arsenic,2013,µg/l,0.35,0,0,2.166666667,0,0,1.508333333,0,0,0
Arsenic,2014,µg/l,0,0.78896875,1.46,1.522222222,1.83,1.59047619,1.475,1.733333333,1.7,0
Arsenic,2015,µg/l,0,0,0,0,2.054,1.891666667,0,2.275,0,4.4678
Arsenic,2016,µg/l,0,0,1.8,0,2.616666667,2.222222222,0,2.191666667,0,0
Atrazine,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Atrazine,1999,µg/l,0,0,0,0,0,0,0,0.043333333,0,0
Atrazine,2000,µg/l,0,0.037058824,0.05,0.0375,0,0.045833333,0.055,0.043333333,0.03,0
Atrazine,2001,µg/l,0,0.015714286,0.014,0.020333333,0,0.023333333,0.026666667,0.022166667,0.0118,0
Atrazine,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Atrazine,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Atrazine,2004,µg/l,0,0.048,0,0.057333333,0,0.078,0,0.073,0,0
Atrazine,2005,µg/l,0,0.100577778,0.051555556,0.035486486,0,0.0653,0.093555556,0.083545455,0.036,0
Atrazine,2006,µg/l,0,0.166157895,0.1539,0.123803279,0,0.134542857,0.1865,0.16025,0.121416667,0
Atrazine,2007,µg/l,0,0.07966,0.0785,0.066730159,0,0.072722222,0.08325,0.078166667,0.065916667,0
Atrazine,2008,µg/l,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0
Atrazine,2009,µg/l,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.05
Atrazine,2010,µg/l,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0
Atrazine,2011,µg/l,0,0,0,0,0,0,0,0,0,0
Atrazine,2012,µg/l,0,0,0,0,0,0,0,0,0,0
Atrazine,2013,µg/l,0,0,0,0,0,0,0,0,0,0
Atrazine,2014,µg/l,0.01775,0,0,0.001122222,0,0,0.164454545,0,0,0
Atrazine,2015,µg/l,0,0,0,0,0,0,0,0,0,0
Atrazine,2016,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2004,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2005,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2006,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2007,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2008,µg/l,0,0,33.5,21.07894737,0,21.93684211,0,21.21227273,35.15,0
Barium,2009,µg/l,0,0,64,37.5,0,51.88888889,0,54.77777778,67,0
Barium,2010,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2011,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2012,µg/l,0,0,24,29.66666667,0,29,0,27.83333333,28.5,0
Barium,2013,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2014,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2015,µg/l,0,0,0,0,0,0,0,0,0,0
Barium,2016,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2003,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2004,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2005,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2006,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2007,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2008,µg/l,0,0.003835385,0,0,0,0,0.003635,0,0,0
Benzo(a)anthracene,2009,µg/l,0,0.0035,0,0,0,0,0.0035,0,0,0.0035
Benzo(a)anthracene,2010,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2011,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2012,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2013,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2014,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2015,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)anthracene,2016,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)pyrene,1998,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)pyrene,1999,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)pyrene,2000,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)pyrene,2001,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)pyrene,2002,µg/l,0,0,0,0,0,0,0,0,0,0
Benzo(a)pyrene,2003,µg/l,0,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0
