year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
2002,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2003,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2004,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2005,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2006,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2007,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2008,"1,2,4-Trichlorobenzene",0,0.001,0,0,0,0,0.001,0,0,0
2009,"1,2,4-Trichlorobenzene",0,0.001,0,0,0,0,0.001,0,0,0
2010,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2011,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2012,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2013,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2014,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2015,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
2016,"1,2,4-Trichlorobenzene",0,0,0,0,0,0,0,0,0,0
1998,Acenaphthene,0,0,0,0,0,0,0,0,0,0
1999,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2000,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2001,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2002,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2003,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2004,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2005,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2006,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2007,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2008,Acenaphthene,0,0.004385385,0,0,0,0,0.003,0,0,0
2009,Acenaphthene,0,0.003,0,0,0,0,0.003,0,0,0
2010,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2011,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2012,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2013,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2014,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2015,Acenaphthene,0,0,0,0,0,0,0,0,0,0
2016,Acenaphthene,0,0,0,0,0,0,0,0,0,0
1998,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
1999,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2000,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2001,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2002,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2003,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2004,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2005,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2006,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2007,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2008,Acenaphthylene,0,0.004,0,0,0,0,0.004,0,0,0
2009,Acenaphthylene,0,0.004,0,0,0,0,0.004,0,0,0
2010,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2011,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2012,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2013,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2014,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2015,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
2016,Acenaphthylene,0,0,0,0,0,0,0,0,0,0
1998,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
1999,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2000,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2001,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2002,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2003,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2004,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2005,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2006,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2007,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2008,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2009,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2010,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2011,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2012,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2013,"AGOC-3A",0,0,0,0,0,0,0,0,0,0
2014,"AGOC-3A",0,0.320857143,0.2987,0.515044444,0,0.52815625,0.3744,0.461272727,0.2951,0
2015,"AGOC-3A",0,9.966914286,0.366,1.423925926,0,0.354259259,0.564818182,0.514481481,0.412777778,0
2016,"AGOC-3A",0,0.065964286,0.750416667,0.24253125,0,0.249333333,0.068090909,0.184727273,0.580083333,0
1998,Alachlor,0,0,0,0,0,0,0,0,0,0
1999,Alachlor,0,0,0,0,0,0,0,0,0,0
2000,Alachlor,0,0,0,0,0,0,0,0,0,0
2001,Alachlor,0,0,0,0,0,0,0,0,0,0
2002,Alachlor,0,0,0,0,0,0,0,0,0,0
2003,Alachlor,0,0,0,0,0,0,0,0,0,0
2004,Alachlor,0,0,0,0,0,0,0,0,0,0
2005,Alachlor,0,0.098772727,0.11875,0.102458333,0,0.183,0.12,0.078833333,0.11625,0
2006,Alachlor,0,0.278174603,0.1535,0.191089286,0,0.1956875,0.28925,0.209689655,0.138090909,0
2007,Alachlor,0,0.10848,0.049833333,0.055730159,0,0.096888889,0.085666667,0.090111111,0.052083333,0
2008,Alachlor,0,0,0,0,0,0,0,0,0,0
2009,Alachlor,0,0,0.025,0.025,0,0.025,0,0.025,0.025,0
2010,Alachlor,0,0,0,0,0,0,0,0,0,0
2011,Alachlor,0,0,0,0,0,0,0,0,0,0
2012,Alachlor,0,0,0,0,0,0,0,0,0,0
2013,Alachlor,0,0,0,0,0,0,0,0,0,0
2014,Alachlor,0,0,0,0,0,0,0,0,0,0
2015,Alachlor,0,0,0,0,0,0,0,0,0,0
2016,Alachlor,0,0,0,0,0,0,0,0,0,0
1998,Aldrin,0,0,0,0,0,0,0,0,0,0
1999,Aldrin,0,0,0,0,0,0,0,0,0,0
2000,Aldrin,0,0,0,0,0,0,0,0,0,0
2001,Aldrin,0,0,0,0,0,0,0,0,0,0
2002,Aldrin,0,0,0,0,0,0,0,0,0,0
2003,Aldrin,0,0,0,0,0,0,0,0,0,0
2004,Aldrin,0,0,0,0,0,0,0,0,0,0
2005,Aldrin,0,0.007470588,0.0331,0.012056604,0,0.007041667,0,0.02437037,0.0388,0
2006,Aldrin,0,0.1240625,0.1062,0.089963636,0,0.087821429,0.1095,0.096571429,0.1123,0
2007,Aldrin,0,0.029019608,0.012083333,0.016354839,0,0.040361111,0.027083333,0.031611111,0.012583333,0
2008,Aldrin,0,0.025888462,0.025,0,0,0.025,0.025,0.025,0.025,0
2009,Aldrin,0,0.001,0.018,0.018,0,0.018,0.001,0.018,0.018,0.009
2010,Aldrin,0,0,0,0,0,0,0,0,0,0
2011,Aldrin,0,0,0,0,0,0,0,0,0,0
2012,Aldrin,0,0,0,0,0,0,0,0,0,0
2013,Aldrin,0,0,0,0,0,0,0,0,0,0
2014,Aldrin,0,0,0,0,0,0,0,0,0,0
2015,Aldrin,0,0,0,0,0,0,0,0,0,0
2016,Aldrin,0,0,0,0,0,0,0,0,0,0
1998,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
1999,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2000,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2001,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2002,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2003,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2004,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2005,"alpha-Hexachlorocyclohexane",0,0.031288136,0.093833333,0.034830508,0,0.0116,0.016444444,0.033060606,0.0794,0
2006,"alpha-Hexachlorocyclohexane",0,0.015727273,0.0115,0.014139535,0,0.0145,0.0158,0.01388,0.020555556,0
2007,"alpha-Hexachlorocyclohexane",0,0.008607843,0.005,0.009483871,0,0.010722222,0.006333333,0.009441176,0.005,0
2008,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2009,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2010,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2011,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2012,"alpha-Hexachlorocyclohexane",0,0,0,0.01,0,0,0,0,0,0
2013,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2014,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2015,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
2016,"alpha-Hexachlorocyclohexane",0,0,0,0,0,0,0,0,0,0
1998,Aluminium,0,0,0,0,0,0,0,0,0,0
1999,Aluminium,0,0,0,0,0,0,0,0,0,0
2000,Aluminium,0,0,0,0,0,0,0,0,0,0
2001,Aluminium,0,0,0,0,0,0,0,0,0,0
2002,Aluminium,0,0,0,0,0,0,0,0,0,0
2003,Aluminium,0,0,0,0,0,0,0,0,0,0
2004,Aluminium,0,0,0,0,0,0,0,0,0,0
2005,Aluminium,0,0,0,0,0,0,0,0,0,0
2006,Aluminium,0,0,0,0,0,0,0,0,0,0
2007,Aluminium,0,0,0,0,0,0,0,0,0,0
2008,Aluminium,0,0,50.4,38.66666667,0,33.3,0,44.83333333,69.3,0
2009,Aluminium,0,0,162.625,203.5238095,0,143.2592593,0,147.5555556,212.5555556,0
2010,Aluminium,0,0,59,81.66666667,0,57.66666667,0,82,89,0
2011,Aluminium,0,0,0,0,0,0,0,0,0,0
2012,Aluminium,0,0,0,0,0,0,0,0,0,0
2013,Aluminium,0,0,0,0,0,0,0,0,0,0
2014,Aluminium,0,0,0,0,0,0,0,0,0,0
2015,Aluminium,0,0,0,0,0,0,0,0,0,0
2016,Aluminium,0,0,0,0,0,0,0,0,0,0
1998,Ammonium,0,169.5238095,510,425.2777778,0,223.6111111,2963.333333,190.8333333,1116.666667,0
1999,Ammonium,0,295.1612903,704.1666667,340,0,418.0555556,1595,429.4594595,1390.833333,0
2000,Ammonium,0,391.7142857,1145.833333,438.0555556,0,526.1111111,1965.833333,491.6666667,1155,0
2001,Ammonium,0,227.6666667,357,305.6666667,0,364.2424242,1823.636364,317.8787879,365,0
2002,Ammonium,0,451.5873016,459.2857143,347.4603175,0,256.4102564,3107.272727,233.8461538,496.3636364,0
2003,Ammonium,0,304.2666667,620,439.0289855,0,366.25,2301.818182,438.8888889,760,0
2004,Ammonium,0,245.5,485.8181818,395.6984127,0,242.6,1774.166667,358.3030303,454.8,0
2005,Ammonium,0,237.4305556,408.25,264.6388889,0,243.9166667,3515,354.75,500.0833333,0
2006,Ammonium,0,273.1571429,971.1666667,439.2638889,0,546.9361111,1893.636364,459.8611111,846.4166667,0
2007,Ammonium,0,391.9230769,668.6666667,461.2147059,0,211.7222222,1211.166667,223.85,812.0833333,0
2008,Ammonium,0,231.4761905,496.775,330.7939394,0,238.730303,3402.181818,304.1861111,528.2333333,0
2009,Ammonium,164.9166667,301.2909091,232.25,160.7487179,143.6666667,178.0552632,4367.5,154.5282051,307.0833333,623.5
2010,Ammonium,118.7407407,206.9482759,218.9166667,182.2307692,651.8333333,149.5833333,3452.333333,208.2777778,332.5833333,1118.041667
2011,Ammonium,81.70833333,135.7555556,330.1666667,213.5512821,135.1666667,168.5166667,2911.625,157.9259259,259.5,287.9090909
2012,Ammonium,141.5833333,90.54545455,171.4583333,207.0615385,179.25,130.8638889,2378.909091,133.5777778,201.4130435,777.3478261
2013,Ammonium,75.58333333,82.05555556,139.9269231,128.0657895,186.9545455,111.3333333,2562.516667,125.4444444,200.7384615,1209.769231
2014,Ammonium,124.1666667,88.015,186.33,78.13,370.1923077,186.875,3883.666667,190.6233333,277.29,5802.714286
2015,Ammonium,131.5833333,70.96875,120.5769231,60.03717949,312.1923077,159.6666667,2411.041667,166.6388889,317.2692308,1055.166667
2016,Ammonium,88.58333333,62.6,100,63.54358974,132.8846154,88.27777778,1395.5,88.69444444,136.6538462,1060.25
1998,"Anionic active surfactants",0,0,0,0,0,0,0,0,0,0
1999,"Anionic active surfactants",0,0,0,18.88888889,0,106.6666667,0,101.6666667,6.666666667,0
2000,"Anionic active surfactants",0,56,110,76.66666667,0,90.83333333,130,86.94444444,120,0
2001,"Anionic active surfactants",0,11.73913043,126,114.6666667,0,99.33333333,87.77777778,142.4242424,135,0
2002,"Anionic active surfactants",0,70,0,53.33333333,0,50,370,56.66666667,70,0
2003,"Anionic active surfactants",0,32.96969697,31,65.70833333,0,29.88888889,32.66666667,44.77777778,36.5,0
2004,"Anionic active surfactants",0,0.707317073,0,111.9333333,0,0,44.33333333,0,0,0
2005,"Anionic active surfactants",0,36.81944444,88.76666667,41.73333333,0,43.43333333,47.91666667,42.64,101.8333333,0
2006,"Anionic active surfactants",0,49.44776119,81.8125,55.39583333,0,139.9833333,58,95.34166667,95.92857143,0
2007,"Anionic active surfactants",0,45.44230769,132.6555556,114.6181818,0,100.64,66.81818182,105.2893939,133.3444444,0
2008,"Anionic active surfactants",0,39.98412698,103.6666667,67.86111111,0,102.5848485,57.54545455,92.58333333,124.3333333,0
2009,"Anionic active surfactants",34,50,117.0333333,55.31666667,31.125,75.80789474,71.5,79.02820513,131.6,71.77777778
2010,"Anionic active surfactants",0,113.4864865,111.7,53,35.625,53,74.16666667,53,123.7333333,158.3333333
2011,"Anionic active surfactants",0,0,0,0,0,0,8.333333333,0,0,23.66666667
2012,"Anionic active surfactants",0,0,0,0,0,0,0,40.58333333,0,23
2013,"Anionic active surfactants",0,183.7777778,0,0,0,0,76,0,0,24.16166667
2014,"Anionic active surfactants",0,142.7333333,0,0,0,0,162.6363636,0,0,23.075
2015,"Anionic active surfactants",0,107.15625,0,0,0,0,280.25,0,0,0
2016,"Anionic active surfactants",0,138.3529412,0,0,21,0,454.5833333,0,0,0
1998,Anthracene,0,0,0,0,0,0,0,0,0,0
1999,Anthracene,0,0,0,0,0,0,0,0,0,0
2000,Anthracene,0,0,0,0,0,0,0,0,0,0
2001,Anthracene,0,0,0,0,0,0,0,0,0,0
2002,Anthracene,0,0,0,0,0,0,0,0,0,0
2003,Anthracene,0,0,0,0,0,0,0,0,0,0
2004,Anthracene,0,0,0,0,0,0,0,0,0,0
2005,Anthracene,0,0,0,0,0,0,0,0,0,0
2006,Anthracene,0,0,0,0,0,0,0,0,0,0
2007,Anthracene,0,0,0,0,0,0,0,0,0,0
2008,Anthracene,0,0.008518077,0,0,0,0,0.0093375,0,0,0
2009,Anthracene,0,0.005,0.009,0.00846,0,0.00805,0.005,0.0085,0.0075,0.002
2010,Anthracene,0,0,0,0,0,0,0,0,0,0
2011,Anthracene,0,0,0,0,0,0,0,0,0,0
2012,Anthracene,0,0,0,0,0,0,0,0,0,0
2013,Anthracene,0,0,0,0,0,0,0,0,0,0
2014,Anthracene,0,0,0,0,0,0,0,0,0,0
2015,Anthracene,0,0,0,0,0,0,0,0,0,0
2016,Anthracene,0,0,0,0,0,0,0,0,0,0
1998,AOX,0,0,0,0,0,0,0,0,0,0
1999,AOX,0,0,0,0,0,0,0,0,0,0
2000,AOX,0,0,0,0,0,0,0,0,0,0
2001,AOX,0,0,0,0,0,0,0,0,0,0
2002,AOX,0,0,0,0,0,0,0,0,0,0
2003,AOX,0,0,0,0,0,0,0,0,0,0
2004,AOX,0,0,0,0,0,0,0,0,0,0
2005,AOX,0,0,0,0,0,0,0,0,0,0
2006,AOX,0,0,0,0,0,0,0,0,0,0
2007,AOX,0,0,0,0,0,0,0,0,0,0
2008,AOX,0,0,23.9,13.52222222,0,18.47222222,0,20.23333333,33.52857143,0
2009,AOX,0,0,0,0,0,0,0,0,0,0
2010,AOX,0,16.92258065,0,0,0,0,32.925,0,0,0
2011,AOX,0,0,0,0,0,0,0,0,0,0
2012,AOX,0,0,0,0,0,0,0,0,0,0
2013,AOX,0,23.91666667,0,0,0,0,31.75,0,0,0
2014,AOX,0,0,0,0,0,0,0,0,0,0
2015,AOX,0,0,0,0,0,0,0,0,0,0
2016,AOX,0,14.77058824,0,0,0,0,27.57272727,0,0,0
1998,Arsenic,0,0,0,0,0,0,0,0,0,0
1999,Arsenic,0,0,0,0,0,0,0,0,0,0
2000,Arsenic,0,0,0,0,0,0,0,0,0,0
2001,Arsenic,0,0,0,0,0,0,0,0,0,0
2002,Arsenic,0,0,0,0,0,0,0,0,0,0
2003,Arsenic,0,0,0,0,0,0,0,0,0,0
2004,Arsenic,0,0.242,2.227,0.1,0,0,0.819,0.622,0,0
2005,Arsenic,0,0,0,0,0,0,0,0,0,0
2006,Arsenic,0,0,0,0,0,0,0,0,0,0
2007,Arsenic,0,0,0,0,0,0,0,0,0,0
2008,Arsenic,0,1.44,0.521,0.303181818,0,0.448052632,1.1,0.462954545,0.5925,0
2009,Arsenic,0.825,0,1.15875,1.047037037,1.01,1.011111111,0,1.05,1.257777778,0
2010,Arsenic,1.008333333,2.344444444,1.0025,0.908611111,0,0.969722222,2.584166667,0.993333333,1.183333333,0
2011,Arsenic,1.205555556,0,1.416666667,1.113333333,1,1.271111111,2.85,1.278787879,1.616666667,2.26
2012,Arsenic,0.358333333,0,1.75,1.533333333,0,1.633333333,1.618181818,1.6,1.7,0
2013,Arsenic,0.35,0,0,2.166666667,0,0,1.508333333,0,0,0
2014,Arsenic,0,0.78896875,1.46,1.522222222,1.83,1.59047619,1.475,1.733333333,1.7,0
2015,Arsenic,0,0,0,0,2.054,1.891666667,0,2.275,0,4.4678
2016,Arsenic,0,0,1.8,0,2.616666667,2.222222222,0,2.191666667,0,0
1998,Atrazine,0,0,0,0,0,0,0,0,0,0
1999,Atrazine,0,0,0,0,0,0,0,0.043333333,0,0
2000,Atrazine,0,0.037058824,0.05,0.0375,0,0.045833333,0.055,0.043333333,0.03,0
2001,Atrazine,0,0.015714286,0.014,0.020333333,0,0.023333333,0.026666667,0.022166667,0.0118,0
2002,Atrazine,0,0,0,0,0,0,0,0,0,0
2003,Atrazine,0,0,0,0,0,0,0,0,0,0
2004,Atrazine,0,0.048,0,0.057333333,0,0.078,0,0.073,0,0
2005,Atrazine,0,0.100577778,0.051555556,0.035486486,0,0.0653,0.093555556,0.083545455,0.036,0
2006,Atrazine,0,0.166157895,0.1539,0.123803279,0,0.134542857,0.1865,0.16025,0.121416667,0
2007,Atrazine,0,0.07966,0.0785,0.066730159,0,0.072722222,0.08325,0.078166667,0.065916667,0
2008,Atrazine,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0
2009,Atrazine,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.05
2010,Atrazine,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0
2011,Atrazine,0,0,0,0,0,0,0,0,0,0
2012,Atrazine,0,0,0,0,0,0,0,0,0,0
2013,Atrazine,0,0,0,0,0,0,0,0,0,0
2014,Atrazine,0.01775,0,0,0.001122222,0,0,0.164454545,0,0,0
2015,Atrazine,0,0,0,0,0,0,0,0,0,0
2016,Atrazine,0,0,0,0,0,0,0,0,0,0
1998,Barium,0,0,0,0,0,0,0,0,0,0
1999,Barium,0,0,0,0,0,0,0,0,0,0
2000,Barium,0,0,0,0,0,0,0,0,0,0
2001,Barium,0,0,0,0,0,0,0,0,0,0
2002,Barium,0,0,0,0,0,0,0,0,0,0
2003,Barium,0,0,0,0,0,0,0,0,0,0
2004,Barium,0,0,0,0,0,0,0,0,0,0
2005,Barium,0,0,0,0,0,0,0,0,0,0
2006,Barium,0,0,0,0,0,0,0,0,0,0
2007,Barium,0,0,0,0,0,0,0,0,0,0
2008,Barium,0,0,33.5,21.07894737,0,21.93684211,0,21.21227273,35.15,0
2009,Barium,0,0,64,37.5,0,51.88888889,0,54.77777778,67,0
2010,Barium,0,0,0,0,0,0,0,0,0,0
2011,Barium,0,0,0,0,0,0,0,0,0,0
2012,Barium,0,0,24,29.66666667,0,29,0,27.83333333,28.5,0
2013,Barium,0,0,0,0,0,0,0,0,0,0
2014,Barium,0,0,0,0,0,0,0,0,0,0
2015,Barium,0,0,0,0,0,0,0,0,0,0
2016,Barium,0,0,0,0,0,0,0,0,0,0
1998,""Benzo(a)anthracene"",0,0,0,0,0,0,0,0,0,0
1999,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2000,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2001,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2002,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2003,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2004,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2005,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2006,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2007,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2008,"Benzo(a)anthracene",0,0.003835385,0,0,0,0,0.003635,0,0,0
2009,"Benzo(a)anthracene",0,0.0035,0,0,0,0,0.0035,0,0,0.0035
2010,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2011,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2012,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2013,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2014,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2015,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
2016,"Benzo(a)anthracene",0,0,0,0,0,0,0,0,0,0
1998,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
1999,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2000,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2001,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2002,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2003,"Benzo(a)pyrene",0,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0
2004,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2005,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2006,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2007,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2008,"Benzo(a)pyrene",0,0.007554615,0,0,0,0,0.0075,0,0,0
2009,"Benzo(a)pyrene",0,0.0075,0,0,0,0,0.0075,0,0,0.002
2010,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2011,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2012,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2013,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2014,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2015,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
2016,"Benzo(a)pyrene",0,0,0,0,0,0,0,0,0,0
1998,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
1999,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2000,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2001,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2002,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2003,"Benzo(b)fluoranthene",0,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0
2004,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2005,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2006,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2007,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2008,"Benzo(b)fluoranthene",0,0.008250769,0,0,0,0,0.0075,0,0,0
2009,"Benzo(b)fluoranthene",0,0.0075,0,0,0,0,0.0075,0,0.014,0.0021
2010,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2011,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2012,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2013,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2014,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2015,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
2016,"Benzo(b)fluoranthene",0,0,0,0,0,0,0,0,0,0
1998,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
1999,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2000,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2001,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2002,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2003,"Benzo(g,h,i)perylene",0,0,0.001,0.001,0,0.001,0.001,0.001,0.002,0
2004,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
2005,"Benzo(g,h,i)perylene",0,0,0,0,0,0,0,0,0,0
